Date,Traffic_Source,Sessions,Users,New_Users,Bounce_Rate,Avg_Session_Duration,Pages_Per_Session,Conversions,Revenue
2024-04-01,Social Media,1130,992,700,48.2,2.72,3.8,60,30000
2024-04-01,Referral,508,443,308,39.4,4.08,4.9,45,22500
2024-04-01,Email,336,298,108,26.2,6.18,7.3,63,31500
2024-04-01,Paid Search,876,778,525,43.1,3.38,4.4,82,41000
2024-04-08,Organic Search,2210,1742,1154,36.9,3.88,5.3,161,80500
2024-04-08,Direct,765,650,346,33.9,4.78,6.3,81,40500
2024-04-08,Social Media,1185,1040,730,47.6,2.78,3.9,63,31500
2024-04-08,Referral,530,462,320,39.0,4.14,5.0,47,23500
2024-04-08,Email,350,311,113,25.9,6.26,7.4,66,33000
2024-04-08,Paid Search,912,809,545,42.7,3.44,4.5,85,42500
2024-04-22,Organic Search,2340,1846,1220,36.3,3.96,5.4,170,85000
2024-04-22,Direct,805,685,364,33.5,4.86,6.4,85,42500
2024-04-22,Social Media,1250,1098,766,46.9,2.86,4.0,67,33500
2024-04-22,Referral,558,486,336,38.5,4.22,5.1,50,25000
2024-04-22,Email,366,325,118,25.5,6.36,7.5,70,35000
2024-04-22,Paid Search,952,845,568,42.2,3.52,4.6,89,44500
2024-05-06,Organic Search,2480,1960,1298,35.7,4.05,5.5,180,90000
2024-05-06,Direct,850,723,384,33.0,4.95,6.5,90,45000
2024-05-06,Social Media,1320,1160,808,46.2,2.95,4.1,71,35500
2024-05-06,Referral,590,514,354,38.0,4.30,5.2,53,26500
2024-05-06,Email,384,341,124,25.1,6.48,7.6,74,37000
2024-05-06,Paid Search,996,884,594,41.7,3.60,4.7,93,46500
2024-05-20,Organic Search,2620,2072,1370,35.1,4.14,5.6,190,95000
2024-05-20,Direct,892,759,402,32.6,5.04,6.6,95,47500
2024-05-20,Social Media,1390,1220,848,45.5,3.04,4.2,75,37500
2024-05-20,Referral,620,540,370,37.6,4.38,5.3,56,28000
2024-05-20,Email,400,355,130,24.8,6.58,7.7,78,39000
2024-05-20,Paid Search,1038,921,620,41.2,3.68,4.8,97,48500
2024-06-03,Organic Search,2780,2200,1455,34.5,4.24,5.7,201,100500
2024-06-03,Direct,938,798,422,32.2,5.14,6.7,100,50000
2024-06-03,Social Media,1465,1286,892,44.8,3.14,4.3,79,39500
2024-06-03,Referral,652,568,386,37.2,4.46,5.4,59,29500
2024-06-03,Email,418,371,136,24.4,6.68,7.8,82,41000
2024-06-03,Paid Search,1082,960,646,40.7,3.76,4.9,101,50500
2024-06-17,Organic Search,2940,2328,1538,33.9,4.34,5.8,212,106000
2024-06-17,Direct,984,837,442,31.8,5.24,6.8,105,52500
2024-06-17,Social Media,1540,1352,934,44.1,3.24,4.4,83,41500
2024-06-17,Referral,684,596,402,36.8,4.54,5.5,62,31000
2024-06-17,Email,436,387,142,24.1,6.78,7.9,86,43000
2024-06-17,Paid Search,1128,1001,674,40.2,3.84,5.0,105,52500
2024-07-01,Organic Search,3100,2455,1622,33.3,4.44,5.9,223,111500
2024-07-01,Direct,1032,878,464,31.4,5.34,6.9,110,55000
2024-07-01,Social Media,1618,1420,976,43.4,3.34,4.5,87,43500
2024-07-01,Referral,718,626,418,36.4,4.62,5.6,65,32500
2024-07-01,Email,454,403,148,23.8,6.88,8.0,90,45000
2024-07-01,Paid Search,1174,1042,702,39.7,3.92,5.1,109,54500
2024-07-15,Organic Search,3260,2582,1706,32.8,4.54,6.0,234,117000
2024-07-15,Direct,1080,919,486,31.0,5.44,7.0,115,57500
2024-07-15,Social Media,1696,1490,1018,42.7,3.44,4.6,91,45500
2024-07-15,Referral,752,654,434,36.0,4.70,5.7,68,34000
2024-07-15,Email,472,419,154,23.5,6.98,8.1,94,47000
2024-07-15,Paid Search,1220,1083,730,39.2,4.00,5.2,113,56500
2024-08-05,Organic Search,3450,2731,1808,32.1,4.66,6.1,248,124000
2024-08-05,Direct,1142,972,514,30.5,5.56,7.1,121,60500
2024-08-05,Social Media,1796,1578,1076,41.9,3.56,4.7,96,48000
2024-08-05,Referral,796,694,458,35.5,4.80,5.8,72,36000
2024-08-05,Email,498,442,163,23.1,7.10,8.2,99,49500
2024-08-05,Paid Search,1290,1145,772,38.6,4.10,5.3,119,59500
2024-08-19,Organic Search,3640,2882,1910,31.5,4.78,6.2,262,131000
2024-08-19,Direct,1204,1025,542,30.1,5.68,7.2,127,63500
2024-08-19,Social Media,1896,1668,1134,41.2,3.68,4.8,101,50500
2024-08-19,Referral,840,732,482,35.1,4.90,5.9,76,38000
2024-08-19,Email,524,465,172,22.8,7.22,8.3,104,52000
2024-08-19,Paid Search,1360,1207,814,38.1,4.20,5.4,125,62500
2024-09-02,Organic Search,3840,3040,2015,30.9,4.90,6.3,276,138000
2024-09-02,Direct,1268,1080,570,29.7,5.80,7.3,133,66500
2024-09-02,Social Media,1998,1758,1192,40.5,3.80,4.9,106,53000
2024-09-02,Referral,886,772,506,34.7,5.00,6.0,80,40000
2024-09-02,Email,550,488,181,22.5,7.34,8.4,109,54500
2024-09-02,Paid Search,1432,1271,856,37.6,4.30,5.5,131,65500
2024-09-16,Organic Search,4050,3208,2126,30.3,5.02,6.4,291,145500
2024-09-16,Direct,1335,1137,598,29.3,5.92,7.4,140,70000
2024-09-16,Social Media,2104,1852,1252,39.8,3.92,5.0,111,55500
2024-09-16,Referral,934,814,530,34.3,5.10,6.1,84,42000
2024-09-16,Email,578,513,190,22.2,7.46,8.5,114,57000
2024-09-16,Paid Search,1506,1337,898,37.1,4.40,5.6,137,68500
2024-10-07,Organic Search,4280,3390,2246,29.7,5.15,6.5,307,153500
2024-10-07,Direct,1410,1200,630,28.8,6.05,7.5,147,73500
2024-10-07,Social Media,2225,1960,1322,39.0,4.05,5.1,117,58500
2024-10-07,Referral,988,860,558,33.8,5.22,6.2,89,44500
2024-10-07,Email,608,540,200,21.9,7.60,8.6,120,60000
2024-10-07,Paid Search,1590,1412,948,36.5,4.52,5.7,144,72000
2024-10-21,Organic Search,4520,3580,2372,29.1,5.28,6.6,323,161500
2024-10-21,Direct,1488,1266,664,28.4,6.18,7.6,154,77000
2024-10-21,Social Media,2350,2070,1392,38.3,4.18,5.2,123,61500
2024-10-21,Referral,1044,908,584,33.4,5.34,6.3,94,47000
2024-10-21,Email,638,566,210,21.6,7.74,8.7,126,63000
2024-10-21,Paid Search,1678,1490,1000,36.0,4.64,5.8,151,75500
2024-11-04,Organic Search,4780,3785,2509,28.5,5.42,6.7,340,170000
2024-11-04,Direct,1572,1338,702,27.9,6.32,7.7,162,81000
2024-11-04,Social Media,2488,2192,1472,37.6,4.32,5.3,130,65000
2024-11-04,Referral,1104,962,612,32.9,5.46,6.4,100,50000
2024-11-04,Email,670,594,221,21.3,7.88,8.8,133,66500
2024-11-04,Paid Search,1776,1578,1056,35.4,4.76,5.9,160,80000
2024-11-18,Organic Search,5060,4008,2657,27.9,5.56,6.8,359,179500
2024-11-18,Direct,1662,1415,744,27.5,6.46,7.8,171,85500
2024-11-18,Social Media,2636,2322,1558,36.9,4.46,5.4,137,68500
2024-11-18,Referral,1168,1018,642,32.5,5.58,6.5,106,53000
2024-11-18,Email,704,625,232,21.0,8.02,8.9,140,70000
2024-11-18,Paid Search,1880,1670,1116,34.8,4.88,6.0,169,84500
2024-12-02,Organic Search,5380,4262,2823,27.2,5.72,6.9,381,190500
2024-12-02,Direct,1764,1502,790,27.0,6.62,7.9,181,90500
2024-12-02,Social Media,2802,2468,1654,36.1,4.62,5.5,145,72500
2024-12-02,Referral,1240,1080,676,32.0,5.72,6.6,113,56500
2024-12-02,Email,740,657,244,20.7,8.18,9.0,148,74000
2024-12-02,Paid Search,1996,1774,1184,34.2,5.02,6.1,179,89500
2024-12-16,Organic Search,5720,4532,3002,26.6,5.88,7.0,405,202500
2024-12-16,Direct,1876,1596,840,26.6,6.78,8.0,192,96000
2024-12-16,Social Media,2980,2626,1758,35.4,4.78,5.6,154,77000
2024-12-16,Referral,1318,1148,714,31.5,5.86,6.7,120,60000
2024-12-16,Email,778,691,256,20.4,8.34,9.1,156,78000
2024-12-16,Paid Search,2124,1888,1260,33.6,5.16,6.2,190,95000
